#SampleID	Seq_Run	Myco_Rel_Abund	Latitude	Longitude	pH	Total_Alkalinity	Total_Hardness	Free_Chlorine	Total_Chlorine	Nitrite	Nitrate	Total_Iron	Source of Household Water	Showerhead Installation Time Frame	Frequency of Household Shower Usage	Frequency of Showerhead Cleaning	Showerhead Cleaning Solution	Showerhead Material	Interior Showerhead Finish	Showerhead System Setup	Does the Showerhead Have a Filter?	Showerhead Spray Pattern Description	How is Water Heated	Age of Hot Water Heater	Hot Water Heater Flush Frequency	Description
EXT_BLNK_6	2	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	Showerhead
NTM01322	2	0.06	40.14	-105.15	6.2	30	120	0.3	0	0.5	0.1	NA	Municipal Water System	More than 6 Months Ago	1-4 times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed/Permanent	Yes	Drenching Forced Spray Ideal For Rinsing Shampoo	Hot Water Heater	1-5 Years	Never	Showerhead
NTM00208	2	30.76	39.53	-76.42	6.8	180	50	0	0	0	5	0.15	Well-Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed/Permanent	Yes	Multiple Interchangeable Spray Patterns	Hot Water Heater	<1 Year	Never	Showerhead
NTM01341	2	4.5	38.89	-77.11	6.8	120	250	0	2	0	2	0.15	Municipal Water System	More than 6 Months Ago	5-9 times/week	Once a Year	Commercial Cleaning Solution	Solid Brass	Chrome	Fixed/Permanent	No	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	<1 Year	Yearly	Showerhead
NTM00409	2	2.1	40.70	-73.78	6.2	80	120	0	0	0	0	0.15	Municipal Water System	More than 6 Months Ago	10-13 times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed/Permanent	Do Not Know	Multiple Interchangeable Spray Patterns	Hot Water Heater	6-10 Years	Do Not Know	Showerhead
NTM01448	2	0.04	34.00	-84.44	6.2	40	250	0	0.5	0	2	0.15	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Metal	Do Not Know	Fixed Showerhead w/ Additional Handheld Unit	No	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	6-10 Years	Never	Showerhead
NTM01063	2	0.11	34.17	-118.20	7.2	150	120	0	0	0.07	1	0	Municipal Water System	More than 6 Months Ago	1-4 times/week	Never	NA	Metal	Chrome	Fixed Showerhead w/ Additional Handheld Unit	Yes	Multiple Interchangeable Spray Patterns	Hot Water Heater	<1 Year	Do Not Know	Showerhead
NTM00069	2	1.59	35.72	-78.78	6.1	65	13/200	0	3.8	NA	0.2	0.07	Municipal Water System	More than 6 Months Ago	14+ times/week	Never	NA	Metal	Chrome	Fixed/Permanent	Yes	Multiple Interchangeable Spray Patterns	Hot Water Heater	1-5 Years	Never	Showerhead
NTM00042	2	67.62	46.72	-92.12	6.2	100	120	0	0	NA	2	0.15	Municipal Water System	More than 6 Months Ago	10-13 times/week	Never	NA	Combination of Plastic/Metal	Nickel	Fixed/Permanent	Yes	Drenching Forced Spray Ideal For Rinsing Shampoo	Hot Water Heater	>10 Years	Never	Showerhead
NTM00502	2	53.28	34.03	-118.51	6.8	180	250	0	0.5	1	0	0.15	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed/Permanent	Yes	Fine Misting of Water (Low Flow)	Hot Water Heater	6-10 Years	Never	Showerhead
NTM00629	2	0.1	41.13	-81.81	6.6	120	250	0	0.4	0.05	1	0.05	Municipal Water System	More than 6 Months Ago	1-4 times/week	Never	NA	Combination of Plastic/Metal	Chrome	Fixed/Permanent	No	Fine Misting of Water (Low Flow)	Gas Tankless Water Heater	6-10 Years	NA	Showerhead
NTM00516	2	15.18	30.47	-97.85	6.8	80	120	0	0.5	0.15	5	0.15	Municipal Water System	More than 6 Months Ago	5-9 times/week	Once Every 6 Months	Commercial Cleaning Solution	Metal	Do Not Know	Fixed/Permanent	No	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	>10 Years	Every Few Years	Showerhead
NTC_3	2	0.04	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	Showerhead
NTM01136	2	16.01	34.45	-118.52	7.8	180	250	0	0.5	0	1	0.15	Municipal Water System	More than 6 Months Ago	10-13 times/week	Once a Year	Bleach and Water	Plastic	No Finish	Fixed Showerhead w/ Additional Handheld Unit	No	Multiple Interchangeable Spray Patterns	Hot Water Heater	6-10 Years	Never	Showerhead
NTM00540	2	18.19	38.26	-85.67	6.2	80	120	0	0	2	0	0	Municipal Water System	More than 6 Months Ago	14+ times/week	Never	NA	Plastic	Do Not Know	Fixed/Permanent	No	Drenching Forced Spray Ideal For Rinsing Shampoo	Hot Water Heater	1-5 Years	Never	Showerhead
NTM00226	2	15.76	38.02	-78.48	6.2	150	120	0	0.5	0	0	0.3	Municipal Water System	More than 6 Months Ago	1-4 times/week	Never	NA	Metal	Do Not Know	Fixed/Permanent	Yes	Multiple Interchangeable Spray Patterns	Hot Water Heater	>10 Years	Never	Showerhead
NTM01034	2	0.13	43.72	-72.27	6.5	100	50	0	0.5	0	1	0.075	Municipal Water System	More than 6 Months Ago	1-4 times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed/Permanent	Yes	Drenching Forced Spray Ideal For Rinsing Shampoo	Hot Water Heater	6-10 Years	Every Few Years	Showerhead
NTM00100	2	45.8	43.63	-70.25	6.2	30	120	0	0.5	0	0	0.075	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Metal	Copper	Fixed/Permanent	No	Drenching Forced Spray Ideal For Rinsing Shampoo	Hot Water Heater	6-10 Years	Never	Showerhead
NTM00566	2	0.58	45.39	-122.32	6.8	120	100	0	0	0	1	0.15	Well-Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Combination of Plastic/Metal	Chrome	Fixed Showerhead w/ Additional Handheld Unit	No	Multiple Interchangeable Spray Patterns	Hot Water Heater	>10 Years	Never	Showerhead
NTM00521	2	9.81	37.36	-122.01	6.5	100	120	0	6	0.075	1	0.15	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Plastic	No Finish	Fixed/Permanent	No	Wide Coverage That Feels Like Drenching Rain	Electric Tankless Water Heater	1-5 Years	NA	Showerhead
NTM00140	2	16.65	35.97	-78.68	6.2	110	NA	0	0	0	10	0	Well-Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed/Permanent	No	Multiple Interchangeable Spray Patterns	Hot Water Heater	6-10 Years	Every Few Years	Showerhead
NTM00474	2	25.41	40.23	-74.03	6.2	50	55	0	1	1	0	0	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed/Permanent	No	Multiple Interchangeable Spray Patterns	Hot Water Heater	6-10 Years	Never	Showerhead
NTM00464	2	0.42	30.29	-97.72	7	120	120	0	1.5	0	1.5	0.15	Municipal Water System	More than 6 Months Ago	14+ times/week	Never	NA	Plastic	Do Not Know	Fixed/Permanent	Yes	Multiple Interchangeable Spray Patterns	Hot Water Heater	Do Not Know	Do Not Know	Showerhead
NTM00556	2	8.97	33.24	-111.64	6.2	20	50	0.25	0	0	10	0.8	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Combination of Plastic/Metal	No Finish	Fixed/Permanent	No	Multiple Interchangeable Spray Patterns	Hot Water Heater	6-10 Years	Never	Showerhead
NTM01394	2	16.71	39.40	-77.43	6.6	70	200	0	0.5	0.05	1	0	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed/Permanent	Yes	Multiple Interchangeable Spray Patterns	Hot Water Heater	1-5 Years	Never	Showerhead
NTM01333	2	1.27	33.76	-84.31	6.5	80	425	0	0	0.15	2	0.15	Municipal Water System	More than 6 Months Ago	10-13 times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed/Permanent	Yes	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	1-5 Years	Never	Showerhead
NTM01403	2	28.33	26.83	-80.13	6.8	80	120	0	10	0	0	0.15	Municipal Water System	More than 6 Months Ago	10-13 times/week	Never	NA	Metal	Nickel	Fixed Showerhead w/ Additional Handheld Unit	No	Drenching Forced Spray Ideal For Rinsing Shampoo	Hot Water Heater	6-10 Years	Never	Showerhead
NTM01177	2	0.04	40.66	-80.58	6.2	80	120	0	0	0	1	0.15	Municipal Water System	More than 6 Months Ago	10-13 times/week	Never	NA	Combination of Plastic/Metal	Copper	Fixed Showerhead w/ Additional Handheld Unit	Do Not Know	Multiple Interchangeable Spray Patterns	Hot Water Heater	1-5 Years	Never	Showerhead
NTM00981	2	60.16	43.04	-71.57	6.4	60	250	0.5	0.5	0	1	0.15	Well-Water System	More than 6 Months Ago	14+ times/week	Never	NA	Metal	Do Not Know	Fixed/Permanent	No	Multiple Interchangeable Spray Patterns	Hot Water Heater	1-5 Years	Never	Showerhead
NTM00478	2	59.05	41.71	-72.70	6	40	120	0	0.2	0	0	0.1	Municipal Water System	More than 6 Months Ago	14+ times/week	Never	NA	Combination of Plastic/Metal	Chrome	Fixed/Permanent	Yes	Drenching Forced Spray Ideal For Rinsing Shampoo	Hot Water Heater	6-10 Years	Never	Showerhead
NTM00574	2	0.52	37.84	-122.28	7.8	120	250	0	0.5	0	0	0	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed/Permanent	No	Multiple Interchangeable Spray Patterns	Hot Water Heater	>10 Years	Never	Showerhead
NTM00616	2	0.07	38.10	-122.61	6.8	120	250	0	0.25	0	0	0	Municipal Water System	More than 6 Months Ago	14+ times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed/Permanent	No	Drenching Forced Spray Ideal For Rinsing Shampoo	Hot Water Heater	>10 Years	Never	Showerhead
NTM00043	2	0.36	35.89	-78.73	6.4	90	120	0	0.5	0	1	0.1	Municipal Water System	Within the Last 6 Months	1-4 times/week	Never	NA	Plastic	Do Not Know	Fixed/Permanent	Yes	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	6-10 Years	Never	Showerhead
NTM00594	2	0.01	35.29	-106.66	7.8	180	120	0.5	0.5	1	10	0.3	Municipal Water System	More than 6 Months Ago	10-13 times/week	Never	NA	Combination of Plastic/Metal	Chrome	Fixed/Permanent	No	Multiple Interchangeable Spray Patterns	Gas Tankless Water Heater	1-5 Years	NA	Showerhead
NTM00641	2	0.06	37.38	-120.68	7.2	120	120	0	0	3	0	0	Well-Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Plastic	Do Not Know	Fixed Showerhead w/ Additional Handheld Unit	No	Multiple Interchangeable Spray Patterns	Hot Water Heater	>10 Years	Every Few Years	Showerhead
NTM01257	2	0.03	47.62	-122.35	6.5	60	75	0.5	0	0	0.75	0.2	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Plastic	Do Not Know	Fixed/Permanent	Yes	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	Do Not Know	Do Not Know	Showerhead
NTM00626	2	37.52	33.97	-118.43	6.5	160	200	0	0	0.5	0	0	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Metal	Chrome	Fixed Showerhead w/ Additional Handheld Unit	No	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	>10 Years	Do Not Know	Showerhead
NTM01245	2	3	41.58	-71.26	6.9	60	120	0.1	0.1	0.3	2	0.07	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Solid Brass	Chrome	Fixed/Permanent	No	Fine Misting of Water (Low Flow)	Hot Water Heater	>10 Years	Never	Showerhead
NTM00356	2	2.17	29.97	-90.04	8.4	240	10/200	0	3	0	1	0.07	Municipal Water System	More than 6 Months Ago	14+ times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed/Permanent	Do Not Know	Multiple Interchangeable Spray Patterns	Hot Water Heater	Do Not Know	Do Not Know	Showerhead
NTM00545	2	30.39	38.80	-121.01	6.8	120	250	0	0	0	0.3	0	Well-Water System	More than 6 Months Ago	1-4 times/week	Never	NA	Plastic	Do Not Know	Fixed/Permanent	No	Drenching Forced Spray Ideal For Rinsing Shampoo	Hot Water Heater	>10 Years	Never	Showerhead
NTM00614	2	0.07	37.79	-122.47	7.2	120	50	0	0	1	5	0.15	Municipal Water System	Do Not Know	14+ times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed/Permanent	No	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	Do Not Know	Never	Showerhead
NTM00572	2	17.3	40.54	-74.60	6.8	30	250	0	0	0	1	0.05	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Metal	Do Not Know	Fixed Showerhead w/ Additional Handheld Unit	No	Drenching Forced Spray Ideal For Rinsing Shampoo	Hot Water Heater	1-5 Years	Do Not Know	Showerhead
NTM00634	2	4.04	36.25	-115.18	7.8	210	25/425	0	0.5	0	2	0	Municipal Water System	More than 6 Months Ago	10-13 times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed/Permanent	No	Drenching Forced Spray Ideal For Rinsing Shampoo	Hot Water Heater	1-5 Years	Never	Showerhead
NTM00554	2	0.2	46.72	-117.19	7.2	180	250	0	0	0	1	0.15	Municipal Water System	More than 6 Months Ago	1-4 times/week	Never	NA	Combination of Plastic/Metal	Chrome	Fixed/Permanent	Yes	Multiple Interchangeable Spray Patterns	Hot Water Heater	>10 Years	Never	Showerhead
NTM00541	2	11.94	37.85	-122.06	6.2	40	50	0.1	0.2	0	0	0	Municipal Water System	More than 6 Months Ago	1-4 times/week	Never	NA	Metal	Do Not Know	Fixed Showerhead w/ Additional Handheld Unit	Yes	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	>10 Years	Never	Showerhead
NTM01156	2	41.65	27.80	-82.31	6.8	180	50	0	0	0	2	0.15	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Combination of Plastic/Metal	Chrome	Fixed Showerhead w/ Additional Handheld Unit	No	Multiple Interchangeable Spray Patterns	Hot Water Heater	6-10 Years	Never	Showerhead
NTM01081	2	0.53	38.82	-77.05	6.2	40	120	0	0.5	5	0.15	0	Municipal Water System	More than 6 Months Ago	14+ times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed Showerhead w/ Additional Handheld Unit	Do Not Know	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	1-5 Years	Do Not Know	Showerhead
NTM00979	2	37.48	26.42	-81.83	6.8	120	120	0	4	0	1	0.15	Municipal Water System	More than 6 Months Ago	5-9 times/week	Once a Year	Undiluted Bleach	Solid Brass	Brass	Fixed/Permanent	No	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	1-5 Years	Never	Showerhead
NTM01422	2	0.01	36.59	-88.74	6.8	80	50	0	0	0	1	0.15	Well-Water System	More than 6 Months Ago	5-9 times/week	Once a Year	Bleach and Water	Combination of Plastic/Metal	Do Not Know	Fixed/Permanent	No	Multiple Interchangeable Spray Patterns	Hot Water Heater	1-5 Years	Never	Showerhead
NTM00431	2	0.13	40.16	-105.06	6.2	60	120	0	0	0	1.5	0	Municipal Water System	Do Not Know	5-9 times/week	Never	NA	Metal	Do Not Know	Fixed/Permanent	Do Not Know	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	1-5 Years	Do Not Know	Showerhead
NTM00537	2	0.05	37.32	-90.06	7.2	240	250	0.2	0	0	5	0	Well-Water System	More than 6 Months Ago	10-13 times/week	Never	NA	Metal	Do Not Know	Fixed/Permanent	No	Fine Misting of Water (Low Flow)	Hot Water Heater	6-10 Years	Never	Showerhead
NTM00617	2	99.47	26.13	-80.39	6.8	80	120	0	0.5	0.3	2	0	Municipal Water System	More than 6 Months Ago	10-13 times/week	Once a Year	Soapy Water	Metal	Nickel	Fixed/Permanent	No	Fine Misting of Water (Low Flow)	Hot Water Heater	6-10 Years	Never	Showerhead
NTM00428	2	4.14	41.82	-71.43	6.2	30	180	0	0.2	0	0	0	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Plastic	No Finish	Fixed/Permanent	No	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	Do Not Know	Do Not Know	Showerhead
NTM00513	2	0.18	34.04	-118.47	6.8	120	250	0	0	2	0	0	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed/Permanent	Do Not Know	Drenching Forced Spray Ideal For Rinsing Shampoo	Electric Tankless Water Heater	1-5 Years	NA	Showerhead
NTM01426	2	0.06	41.08	-105.51	6.5	50	75	0	0	0	0	0.15	Well-Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed Showerhead w/ Additional Handheld Unit	Yes	Multiple Interchangeable Spray Patterns	Hot Water Heater	1-5 Years	Never	Showerhead
NTM01281	2	31.31	42.34	-71.12	6.8	80	50	0	0	0	0	0.15	Municipal Water System	More than 6 Months Ago	10-13 times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed/Permanent	No	Multiple Interchangeable Spray Patterns	Hot Water Heater	Do Not Know	Do Not Know	Showerhead
NTM01068	2	0.04	28.67	-81.30	6.8	180	120	0	0.5	0	0	0	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Metal	Do Not Know	Fixed Showerhead w/ Additional Handheld Unit	No	Multiple Interchangeable Spray Patterns	Hot Water Heater	>10 Years	Never	Showerhead
NTM00565	2	0.66	38.82	-94.93	7.2	240	120	0	1	0	0.15	0	Municipal Water System	More than 6 Months Ago	14+ times/week	Never	NA	Metal	Chrome	Fixed/Permanent	Do Not Know	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	Do Not Know	Do Not Know	Showerhead
NTM00339	2	0.02	34.00	-80.97	6.2	40	120	0	0.5	0	1	0.15	Municipal Water System	Within the Last 6 Months	5-9 times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed/Permanent	No	Drenching Forced Spray Ideal For Rinsing Shampoo	Hot Water Heater	<1 Year	Never	Showerhead
NTM00384	2	0.03	42.56	-75.19	6.2	120	120	0	0	0.3	2	0.3	Well-Water System	More than 6 Months Ago	1-4 times/week	Never	NA	*	*	*	*	*	*	*	*	Showerhead
NTM00403	2	4.54	32.80	-96.77	6.2	100	120	0	0	0	0	0	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Metal	Do Not Know	Fixed/Permanent	No	Drenching Forced Spray Ideal For Rinsing Shampoo	Hot Water Heater	>10 Years	Never	Showerhead
NTM00647	2	0	47.64	-122.32	6.8	80	120	0.5	0.5	0	0	0	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Combination of Plastic/Metal	Chrome	Fixed/Permanent	No	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	1-5 Years	Never	Showerhead
NTM00515	2	0.03	45.49	-122.66	6.2	80	120	0	0.5	0	1	0.1	Municipal Water System	Do Not Know	14+ times/week	Never	NA	Metal	Do Not Know	Fixed/Permanent	Do Not Know	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	Do Not Know	Do Not Know	Showerhead
NTM00605	2	4.23	34.05	-118.45	6.2	120	120	0	1	0.15	5	0	Municipal Water System	Do Not Know	10-13 times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed/Permanent	No	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	Do Not Know	Do Not Know	Showerhead
NTM00553	2	0.68	37.55	-122.32	6.2	80	50	0.5	0	1	0	0.3	Municipal Water System	More than 6 Months Ago	14+ times/week	Never	NA	Metal	Chrome	Fixed Showerhead w/ Additional Handheld Unit	Do Not Know	Wide Coverage That Feels Like Drenching Rain	Electric Tankless Water Heater	6-10 Years	NA	Showerhead
NTM00627	2	0	41.64	-87.98	7.8	180	120	0	0	0	0	0.6	Well-Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Combination of Plastic/Metal	No Finish	Fixed/Permanent	No	Multiple Interchangeable Spray Patterns	Hot Water Heater	1-5 Years	Never	Showerhead
NTM00595	2	4.32	34.01	-118.31	6.8	180	300	0	0	0.07	5	0	Municipal Water System	More than 6 Months Ago	14+ times/week	Once Every 6 Months	Soapy Water	Metal	Do Not Know	Fixed/Permanent	No	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	Do Not Know	Never	Showerhead
NTM01071	2	3.39	27.46	-82.66	6.8	70	250	0.1	3	0	1	0	Municipal Water System	More than 6 Months Ago	10-13 times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed Showerhead w/ Additional Handheld Unit	No	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	1-5 Years	Never	Showerhead
NTM01086	2	2.69	40.25	-75.31	6.4	100	120	0	0	1	3	0.15	Unknown/Other	Do Not Know	5-9 times/week	Never	NA	Metal	Nickel	Fixed/Permanent	No	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	<1 Year	Never	Showerhead
NTM01044	2	97.68	33.04	-117.26	7.2	200	425	0	0.5	0.15	3	0.15	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Combination of Plastic/Metal	Brass	Fixed/Permanent	No	Targeted Pattern Producing Sharp Pointed Spray	Hot Water Heater	>10 Years	Never	Showerhead
NTM00655	2	0.03	30.41	-81.71	7.8	150	25/425	0	0	0	0	0	Municipal Water System	More than 6 Months Ago	10-13 times/week	Never	NA	Metal	Chrome	Fixed/Permanent	No	Targeted Pattern Producing Sharp Pointed Spray	Hot Water Heater	>10 Years	Never	Showerhead
NTM00244	2	0.07	38.31	-77.22	6.2	40	50	0	0	0	0	0.15	Well-Water System	More than 6 Months Ago	14+ times/week	Never	NA	Combination of Plastic/Metal	Chrome	Fixed/Permanent	No	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	1-5 Years	Every Few Years	Showerhead
NTM00029	2	0.38	42.44	-71.01	6.2	50	425	0	0.5	1	10	0.15	Municipal Water System	More than 6 Months Ago	1-4 times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed/Permanent	No	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	6-10 Years	Never	Showerhead
NTM00489	2	0.15	38.32	-77.22	6.8	80	50	0	0	0	0	0.15	Well-Water System	More than 6 Months Ago	14+ times/week	Never	NA	Plastic	Do Not Know	Fixed Showerhead w/ Additional Handheld Unit	No	Multiple Interchangeable Spray Patterns	Hot Water Heater	>10 Years	Never	Showerhead
NTM00452	2	6.23	36.87	-82.69	6.2	40	120	0	2	NA	0	0.15	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Metal	Do Not Know	Fixed/Permanent	No	Fine Misting of Water (Low Flow)	Hot Water Heater	6-10 Years	Every Few Years	Showerhead
NTM00619	2	0.04	48.77	-122.47	6.6	120	50	0	1.5	0	2	0	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Combination of Plastic/Metal	Nickel	Fixed/Permanent	No	Drenching Forced Spray Ideal For Rinsing Shampoo	Gas Tankless Water Heater	6-10 Years	Never	Showerhead
NTM00607	2	0.03	38.60	-121.43	6.8	180	120	0	0	5	0	0	Municipal Water System	More than 6 Months Ago	10-13 times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed/Permanent	Yes	Multiple Interchangeable Spray Patterns	Hot Water Heater	Do Not Know	Never	Showerhead
NTM00530	2	19.2	39.51	-77.57	6.8	120	425	0	1	0	5	0	Municipal Water System	More than 6 Months Ago	10-13 times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed/Permanent	No	Drenching Forced Spray Ideal For Rinsing Shampoo	Hot Water Heater	>10 Years	Never	Showerhead
NTM01041	2	1.22	38.25	-122.73	6.8	150	250	0	0	0	0	0.15	Well-Water System	More than 6 Months Ago	10-13 times/week	Never	NA	Combination of Plastic/Metal	Chrome	Fixed/Permanent	No	Drenching Forced Spray Ideal For Rinsing Shampoo	Electric Tankless Water Heater	6-10 Years	NA	Showerhead
NTM01252	2	0.02	44.35	-86.18	6.2	180	120	0	0	0	0	0.15	Well-Water System	More than 6 Months Ago	1-4 times/week	Once a Year	Bleach and Water	Metal	Do Not Know	Fixed/Permanent	No	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	>10 Years	Every Few Years	Showerhead
NTM01158	2	10.1	27.22	-82.50	6.2	80	250	0	2	1	2	0.15	Municipal Water System	More than 6 Months Ago	14+ times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed Showerhead w/ Additional Handheld Unit	No	Multiple Interchangeable Spray Patterns	Hot Water Heater	>10 Years	Every Few Years	Showerhead
NTM01116	2	0.02	39.62	-105.17	6.5	160	250	0	0	0	0	0.075	Municipal Water System	More than 6 Months Ago	10-13 times/week	Once a Year	Vinegar	Plastic	Do Not Know	Fixed Showerhead w/ Additional Handheld Unit	Do Not Know	Multiple Interchangeable Spray Patterns	Hot Water Heater	1-5 Years	Never	Showerhead
NTM00153	2	4.59	35.84	-78.70	6.2	160	250	0	0	NA	1	0.15	Well-Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Plastic	Do Not Know	Fixed/Permanent	Yes	Drenching Forced Spray Ideal For Rinsing Shampoo	Hot Water Heater	>10 Years	Never	Showerhead
NTM00550	2	1.68	36.07	-115.05	6.8	200	25/425	0	0.5	0.07	2	0.07	Municipal Water System	Do Not Know	5-9 times/week	Never	NA	Plastic	Do Not Know	Fixed/Permanent	No	Drenching Forced Spray Ideal For Rinsing Shampoo	Hot Water Heater	Do Not Know	Do Not Know	Showerhead
NTM00593	2	0.12	35.07	-106.59	6.8	180	250	0	0.5	0	0	0	Municipal Water System	More than 6 Months Ago	10-13 times/week	Never	NA	Combination of Plastic/Metal	Nickel	Fixed/Permanent	No	Fine Misting of Water (Low Flow)	Hot Water Heater	6-10 Years	Never	Showerhead
NTM00528	2	1.59	37.78	-120.84	7.3	150	120	0	0.5	0	2	0	Municipal Water System	Within the Last 6 Months	5-9 times/week	Never	NA	Combination of Plastic/Metal	Brass	Fixed/Permanent	No	Fine Misting of Water (Low Flow)	Hot Water Heater	>10 Years	Never	Showerhead
NTM00582	2	16.89	45.45	-122.61	7.2	120	250	0	0.5	0	5	0.15	Municipal Water System	More than 6 Months Ago	1-4 times/week	Never	NA	Combination of Plastic/Metal	Brass	Fixed/Permanent	No	Multiple Interchangeable Spray Patterns	Hot Water Heater	6-10 Years	Never	Showerhead
NTM00588	2	5.83	39.86	-75.00	6.8	120	120	0	0	0	1	0.15	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed/Permanent	No	Multiple Interchangeable Spray Patterns	Hot Water Heater	>10 Years	Never	Showerhead
NTM01028	2	0.03	46.82	-120.94	6.8	80	120	0	0	0	1	0.2	Well-Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Metal	Chrome/Brass	Fixed/Permanent	No	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	>10 Years	Never	Showerhead
NTM00985	2	3.7	40.17	-74.95	6.8	240	250	0	0	1	2	0.15	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Combination of Plastic/Metal	Plastic	Fixed/Permanent	Do Not Know	Multiple Interchangeable Spray Patterns	Hot Water Heater	Do Not Know	Do Not Know	Showerhead
